Control_ID,Process_Stage,Parameter,Target,Lower_Limit,Upper_Limit,Unit,Measurement_Method,Monitoring_Frequency,Control_Method,Alarm_Action,Reaction_to_Out_of_Control,Monitoring_Priority,Control_Category
CP-01,ALD Reactor,Temperature,200.0,195.0,205.0,°C,Temperature sensor / thermocouple,Continuous,Temperature controller,Stop deposition and investigate heater/control system,"Hold lot, verify temperature sensor and heater, re-qualify if required",1.0,Process Control
CP-02,ALD Reactor,Chamber Pressure,1.0,0.9,1.1,Torr,Pressure gauge / manometer,Continuous,Pressure controller / throttle valve,Generate pressure alarm,Hold lot and verify pumping / pressure-control system,1.0,Process Control
CP-03,Precursor Delivery,TMA Pulse,1.0,0.95,1.05,s,Valve timing / precursor delivery monitoring,Every deposition cycle,Recipe-controlled pulse timing,TMA pulse deviation alarm,"Stop process, inspect TMA valve/delivery system and verify recipe",1.0,Process Control
CP-04,Reactant Delivery,H2O Pulse,1.0,0.95,1.05,s,Valve timing / reactant delivery monitoring,Every deposition cycle,Recipe-controlled pulse timing,H2O pulse deviation alarm,Stop process and verify H2O delivery system,1.0,Process Control
CP-05,Purge,Purge Time,5.0,5.0,10.0,s,Recipe timer / valve sequence,Every deposition cycle,Recipe lock,Prevent cycle execution if purge is below minimum,Stop process and verify purge sequence before restarting,1.0,Process Control
CP-06,Deposition,Number of ALD Cycles,100.0,100.0,100.0,cycles,Recipe / cycle counter,Every lot,Recipe lock,Prevent lot completion if cycle count is incorrect,Hold lot and investigate recipe execution,2.0,Process Control
CP-07,Film Characterization,GPC,0.1,0.095,0.105,nm/cycle,Thickness measurement / XRR,Lot sampling,SPC control chart,Investigate if GPC crosses control limits,"Hold lot, perform RCA and verify precursor delivery",3.0,Product / Film Control
CP-08,Film Characterization,Film Thickness,10.0,9.5,10.5,nm,XRR / thickness measurement,Lot sampling,SPC + specification limits,Thickness out-of-control alarm,Hold lot and investigate process parameters,3.0,Product / Film Control
CP-09,Film Characterization,Thickness Uniformity,1.0,0.0,2.0,%,Multi-point wafer thickness measurement,Lot sampling,Uniformity trend monitoring,Uniformity limit alarm,"Investigate temperature, pressure and precursor distribution",3.0,Product / Film Control
CP-10,Film Characterization,Film Stress,50.0,-80.0,80.0,MPa,Wafer curvature / stress measurement,Lot sampling,Trend monitoring,Stress specification alarm,Hold lot and investigate thermal/process conditions,3.0,Product / Film Control
CP-11,Film Characterization,Film Density,3.0,2.9,3.1,g/cm³,XRR,Lot qualification / periodic monitoring,Density trend monitoring,Density limit alarm,Investigate precursor/reactant reaction conditions,,Product / Film Control
CP-12,Film Characterization,Surface Roughness,0.2,0.0,0.3,nm RMS,AFM / surface characterization,Periodic qualification,Roughness trend monitoring,Roughness specification alarm,Investigate growth conditions and contamination,4.0,Product / Film Control
CP-13,Film Characterization,Defect Density,5.0,0.0,20.0,defects/cm²,Wafer defect inspection,Lot sampling,Defect trend monitoring,Defectivity alarm,Hold lot and perform contamination / equipment investigation,3.0,Product / Film Control
CP-14,Film Composition,O/Al Ratio,1.5,1.35,1.65,ratio,XPS,Periodic qualification,Composition trend monitoring,Composition deviation alarm,Investigate precursor/reactant balance and surface contamination,4.0,Product / Film Control
CP-15,Film Characterization,Surface Carbon,0.0,0.0,10.0,atomic %,XPS,Periodic qualification,Contamination trend monitoring,Surface contamination alarm,"Investigate purge efficiency, chamber condition and contamination source",4.0,Product / Film Control
